epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.48631,1.77434,3.73012,1.72771,0.00517,0.39522,0.06312,0.05487,1.33762,3.69181,1.40443,0.08812,0.00012,0.00012
2,10.7711,1.747,3.67365,1.72862,0.0109,0.30782,0.03824,0.03016,1.35215,3.64509,1.42958,0.0752475,0.000247525,0.000247525
3,14.9405,1.63724,3.60549,1.64006,0.01564,0.32408,0.03633,0.02204,1.30353,3.58846,1.39921,0.0623725,0.000372476,0.000372476
4,18.3648,1.53415,3.53103,1.58955,0.00273,0.28242,0.03016,0.01961,1.36307,3.55643,1.41899,0.0494949,0.000494853,0.000494853
5,21.6911,1.5229,3.4889,1.55955,0.00271,0.28242,0.03252,0.02084,1.33614,3.50125,1.40118,0.0366147,0.000614656,0.000614656
6,26.3582,1.45724,3.36627,1.50489,0.00309,0.31087,0.0428,0.02531,1.36083,3.40971,1.40817,0.0237319,0.000731885,0.000731885
7,29.9084,1.36501,3.26757,1.48901,0.00973,0.4562,0.07797,0.04018,1.35054,3.32421,1.4108,0.0108465,0.00084654,0.00084654
8,33.3528,1.39767,3.15032,1.46239,0.92545,0.05285,0.13664,0.07467,1.34288,3.07292,1.44163,0.0009307,0.0009307,0.0009307
9,36.8601,1.37518,2.93762,1.43109,0.75053,0.12354,0.16933,0.09514,1.34742,2.84568,1.46102,0.0009208,0.0009208,0.0009208
10,41.4038,1.34806,2.77398,1.42178,0.74568,0.13821,0.20287,0.10672,1.38753,2.55773,1.51339,0.0009109,0.0009109,0.0009109
11,45.1693,1.34885,2.6832,1.43477,0.40437,0.18394,0.23596,0.12282,1.4628,2.42165,1.55588,0.000901,0.000901,0.000901
12,48.6474,1.37556,2.4097,1.43466,0.46844,0.33628,0.31861,0.14907,1.48511,2.18987,1.58511,0.0008911,0.0008911,0.0008911
13,52.9007,1.39749,2.28259,1.43906,0.65519,0.32162,0.3175,0.16545,1.44869,2.34418,1.5361,0.0008812,0.0008812,0.0008812
14,57.2107,1.38037,2.14076,1.43918,0.44191,0.33404,0.33579,0.17038,1.43002,1.99937,1.51359,0.0008713,0.0008713,0.0008713
15,60.6899,1.38615,2.0298,1.42186,0.46334,0.31319,0.34148,0.18045,1.38839,1.85355,1.50432,0.0008614,0.0008614,0.0008614
16,64.3504,1.34994,2.03574,1.4201,0.93185,0.28473,0.36255,0.20316,1.35134,1.9125,1.48299,0.0008515,0.0008515,0.0008515
17,68.6199,1.3677,1.96551,1.42809,0.91072,0.31432,0.37523,0.21465,1.36492,1.86947,1.49736,0.0008416,0.0008416,0.0008416
18,72.6403,1.34833,1.84587,1.40321,0.54445,0.38741,0.37975,0.21468,1.38895,1.77194,1.50183,0.0008317,0.0008317,0.0008317
19,76.2641,1.31435,1.78675,1.3979,0.84003,0.35998,0.43195,0.2342,1.35066,1.72514,1.45951,0.0008218,0.0008218,0.0008218
20,79.604,1.30336,1.76074,1.36616,0.83218,0.36531,0.42774,0.24657,1.33955,1.6515,1.45178,0.0008119,0.0008119,0.0008119
21,83.9082,1.30878,1.75462,1.37212,0.84932,0.36421,0.42976,0.24541,1.38767,1.61616,1.47721,0.000802,0.000802,0.000802
22,87.4344,1.28169,1.6862,1.37847,0.88439,0.3717,0.46596,0.251,1.43808,1.58718,1.50644,0.0007921,0.0007921,0.0007921
23,90.9133,1.26114,1.64894,1.3229,0.84953,0.3804,0.467,0.2508,1.41689,1.53638,1.48446,0.0007822,0.0007822,0.0007822
24,94.5196,1.26244,1.65068,1.36744,0.83926,0.38217,0.48835,0.26461,1.38161,1.50534,1.45322,0.0007723,0.0007723,0.0007723
25,99.1167,1.2553,1.59554,1.34384,0.8266,0.39445,0.50646,0.28086,1.38442,1.5115,1.44204,0.0007624,0.0007624,0.0007624
26,102.902,1.22222,1.6002,1.31063,0.87071,0.4391,0.52236,0.29734,1.32763,1.50268,1.4127,0.0007525,0.0007525,0.0007525
27,106.569,1.22436,1.53768,1.31849,0.86671,0.43846,0.54531,0.31519,1.33226,1.47479,1.40547,0.0007426,0.0007426,0.0007426
28,110.426,1.22435,1.5118,1.31317,0.89331,0.44123,0.53978,0.30998,1.33918,1.49064,1.40426,0.0007327,0.0007327,0.0007327
29,114.846,1.20342,1.5119,1.34509,0.85232,0.44001,0.53028,0.28974,1.35831,1.48828,1.42169,0.0007228,0.0007228,0.0007228
30,118.433,1.23111,1.48,1.33001,0.79951,0.46365,0.51302,0.2786,1.40971,1.5086,1.46133,0.0007129,0.0007129,0.0007129
31,123.111,1.2562,1.48997,1.33499,0.77715,0.48315,0.51245,0.27722,1.43395,1.53314,1.47984,0.000703,0.000703,0.000703
32,127.979,1.21845,1.45299,1.30348,0.77564,0.44285,0.50193,0.28408,1.39272,1.49847,1.43454,0.0006931,0.0006931,0.0006931
33,131.563,1.15915,1.39956,1.28455,0.77516,0.44253,0.49885,0.29603,1.37825,1.48594,1.42538,0.0006832,0.0006832,0.0006832
34,135.205,1.1774,1.39276,1.29227,0.77231,0.46042,0.50384,0.29139,1.34681,1.43872,1.42286,0.0006733,0.0006733,0.0006733
35,139.343,1.23814,1.4474,1.30364,0.86872,0.43756,0.49831,0.28877,1.35525,1.45831,1.42549,0.0006634,0.0006634,0.0006634
36,143.74,1.16907,1.40354,1.27982,0.86545,0.4316,0.49797,0.29349,1.34709,1.45047,1.40553,0.0006535,0.0006535,0.0006535
37,147.265,1.14391,1.3742,1.28556,0.92231,0.41396,0.50403,0.29547,1.3625,1.45698,1.41408,0.0006436,0.0006436,0.0006436
38,150.645,1.1633,1.39008,1.27,0.92641,0.43631,0.51632,0.29195,1.40247,1.46636,1.44031,0.0006337,0.0006337,0.0006337
39,154.584,1.15673,1.40339,1.30902,0.93265,0.43875,0.51561,0.28505,1.4398,1.48269,1.47526,0.0006238,0.0006238,0.0006238
40,158.877,1.1631,1.3765,1.2743,0.93661,0.4336,0.5325,0.28904,1.41465,1.46926,1.43601,0.0006139,0.0006139,0.0006139
41,162.496,1.12223,1.33247,1.25286,0.92714,0.42165,0.54087,0.29298,1.40025,1.45376,1.40815,0.000604,0.000604,0.000604
42,165.922,1.17521,1.37523,1.28646,0.81885,0.45072,0.53079,0.29013,1.3848,1.44554,1.39833,0.0005941,0.0005941,0.0005941
43,170.546,1.11836,1.29765,1.24502,0.82602,0.45222,0.52022,0.2862,1.40342,1.41919,1.41475,0.0005842,0.0005842,0.0005842
44,174.409,1.12985,1.32553,1.25289,0.81533,0.4312,0.49525,0.27997,1.40495,1.42563,1.40922,0.0005743,0.0005743,0.0005743
45,178.078,1.11296,1.31911,1.26537,0.86198,0.41014,0.5018,0.28543,1.41754,1.44451,1.43,0.0005644,0.0005644,0.0005644
46,181.344,1.12766,1.31607,1.23803,0.86645,0.41001,0.50423,0.28532,1.41361,1.43507,1.43899,0.0005545,0.0005545,0.0005545
47,185.934,1.14826,1.33145,1.27679,0.90306,0.40067,0.50754,0.28388,1.38754,1.40564,1.41942,0.0005446,0.0005446,0.0005446
